,STATE,variable,value
146,Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8998
147,Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5323
148,Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3597
149,Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,11509
150,Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3985
151,Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23699
152,Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,31490
153,Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5
154,Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,79878
155,Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,39219
156,Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,504
157,Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,532
158,Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,816
159,Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,96
160,Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29946
161,Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,613
162,Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4047
163,Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,30853
164,Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,230
165,Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19329
166,Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2773
167,Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29698
168,Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1545
169,West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,22871
170,A & N Islands,RIOTS,140
