STATE,Crime,value
Uttar Pradesh,CAUSING DEATH BY NEGLIGENCE,113821
Uttar Pradesh,CRUELTY BY HUSBAND OR HIS RELATIVES,77617
Uttar Pradesh,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,17266
Uttar Pradesh,CUSTODIAL RAPE,2
Uttar Pradesh,DOWRY DEATHS,23824
Uttar Pradesh,HURT/GREVIOUS HURT,139750
Uttar Pradesh,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,3
Uttar Pradesh,INSULT TO MODESTY OF WOMEN,26511
Uttar Pradesh,KIDNAPPING & ABDUCTION,59266
Uttar Pradesh,MURDER,65443
Uttar Pradesh,OTHER IPC CRIMES,626949
Uttar Pradesh,OTHER RAPE,19056
Uttar Pradesh,RAPE,19058
Uttar Pradesh,TOTAL IPC CRIMES,1858074
Uttarakhand,ARSON,314
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1545
Uttarakhand,ATTEMPT TO MURDER,2627
Uttarakhand,CAUSING DEATH BY NEGLIGENCE,6680
Uttarakhand,CRUELTY BY HUSBAND OR HIS RELATIVES,4142
Uttarakhand,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,514
Uttarakhand,CUSTODIAL RAPE,0
Uttarakhand,DOWRY DEATHS,906
Uttarakhand,HURT/GREVIOUS HURT,10610
Uttarakhand,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,1
Uttarakhand,INSULT TO MODESTY OF WOMEN,1519
Uttarakhand,KIDNAPPING & ABDUCTION,2852
Uttarakhand,MURDER,2948
Uttarakhand,OTHER IPC CRIMES,26338
Uttarakhand,OTHER RAPE,1378
Uttarakhand,RAPE,1378
Uttarakhand,TOTAL IPC CRIMES,103204
West Bengal,ARSON,2364
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,22871
West Bengal,ATTEMPT TO MURDER,14693
West Bengal,CAUSING DEATH BY NEGLIGENCE,37751
West Bengal,CRUELTY BY HUSBAND OR HIS RELATIVES,130668
West Bengal,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,6333
West Bengal,CUSTODIAL RAPE,0
West Bengal,DOWRY DEATHS,5172
West Bengal,HURT/GREVIOUS HURT,94152
West Bengal,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,114
West Bengal,INSULT TO MODESTY OF WOMEN,1554
West Bengal,KIDNAPPING & ABDUCTION,25999
West Bengal,MURDER,21056
West Bengal,OTHER IPC CRIMES,426194
West Bengal,OTHER RAPE,20787
West Bengal,RAPE,20787
West Bengal,TOTAL IPC CRIMES,1119304
