STATE,Crime,value
Chhattisgarh,TOTAL IPC CRIMES,561027
D & N Haveli,ARSON,55
D & N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,50
D & N Haveli,ATTEMPT TO MURDER,31
D & N Haveli,CAUSING DEATH BY NEGLIGENCE,148
D & N Haveli,CRUELTY BY HUSBAND OR HIS RELATIVES,38
D & N Haveli,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3
D & N Haveli,CUSTODIAL RAPE,0
D & N Haveli,DOWRY DEATHS,1
D & N Haveli,HURT/GREVIOUS HURT,318
D & N Haveli,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
D & N Haveli,INSULT TO MODESTY OF WOMEN,4
D & N Haveli,KIDNAPPING & ABDUCTION,141
D & N Haveli,MURDER,108
D & N Haveli,OTHER IPC CRIMES,1859
D & N Haveli,OTHER RAPE,56
D & N Haveli,RAPE,56
D & N Haveli,TOTAL IPC CRIMES,4651
Daman & Diu,ARSON,34
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15
Daman & Diu,ATTEMPT TO MURDER,38
Daman & Diu,CAUSING DEATH BY NEGLIGENCE,311
Daman & Diu,CRUELTY BY HUSBAND OR HIS RELATIVES,35
Daman & Diu,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2
Daman & Diu,CUSTODIAL RAPE,0
Daman & Diu,DOWRY DEATHS,3
Daman & Diu,HURT/GREVIOUS HURT,190
Daman & Diu,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Daman & Diu,INSULT TO MODESTY OF WOMEN,2
Daman & Diu,KIDNAPPING & ABDUCTION,31
Daman & Diu,MURDER,68
Daman & Diu,OTHER IPC CRIMES,661
Daman & Diu,OTHER RAPE,20
Daman & Diu,RAPE,20
Daman & Diu,TOTAL IPC CRIMES,2948
Goa,ARSON,272
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,328
Goa,ATTEMPT TO MURDER,269
Goa,CAUSING DEATH BY NEGLIGENCE,2664
Goa,CRUELTY BY HUSBAND OR HIS RELATIVES,191
Goa,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,67
Goa,CUSTODIAL RAPE,0
Goa,DOWRY DEATHS,19
Goa,HURT/GREVIOUS HURT,2287
Goa,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0
Goa,INSULT TO MODESTY OF WOMEN,123
Goa,KIDNAPPING & ABDUCTION,236
Goa,MURDER,487
